id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_key
5050599238,13453036@N02,45.777543,4.857641,"animal,mammal,zoo,lyon,lion,beast,mammifère,félin,fauve,têtedor,guèpe,pantheraleo,griffes,parcdelatêtedor,bête,atlaslion,pantheraleoleo,liondelatlas,feulement,liondelyon,liondebarbarie",Lion de Lyon,45.0,1,4,10,2010,2010-10-4
5258713618,13453036@N02,45.777356,4.855935,"blackandwhite,animal,animals,square,mammal,zoo,pin,lyon,noiretblanc,maki,queue,lemur,beast,lemurs,animaux,carré,mammifère,têtedor,blancetnoir,varis,ruffedlemur,plaineafricaine,parcdelatêtedor,bête,blackandwhiteruffedlemur,mammifères,lémuriens,vareciavariegata,vareciavariegatavariegata,makivarinoiretblanc,blackandwhiteruffedlemurs,ruffedlemurs,variblancetnoir,varinoiretblanc,varisblancetnoirs,varisnoiretblancs,makisvaris,makivariblancetnoir,makisvarisnoiretblancs,makisvarisblancetnoirs",Les Varis dans les Pins,33.0,15,1,11,2010,2010-11-1
4330556899,13453036@N02,45.776881,4.854819,"reflection,bird,birds,animal,animals,reflections,zoo,duck,flamingo,ducks,reflet,beast,animaux,reflets,greaterflamingo,phoenicopterusroseus,oiseau,canard,oiseaux,canards,têtedor,flamant,parcdelatêtedor,flamantrose,bête,flamantsroses",Flamants Roses,23.0,14,4,2,2010,2010-2-4
4331287500,13453036@N02,45.777026,4.854508,"parcdelatêtedor,lémuriens,lémurien,vari,varis,variroux,varisnoiretblancs,varinoiretblanc,varisblancetnoirs,variblancetnoir,têtedor,maki,makivarinoiretblanc,makivariblancetnoir,makisvarisnoiretblancs,makisvarisblancetnoirs,makivariroux,blackandwhiteruffedlemur,blackandwhiteruffedlemurs,lemur,lemurs,redruffedlemur,makis,makivari,makisvaris,ruffedlemur,ruffedlemurs,zoo,vareciavariegatavariegata,vareciavariegata,vareciavariegatarubra,lémuràcrinière,lémursàcrinières,animal,bête,beast,mammifère,mammal,mammifères,animaux,animals",Lémuriens,21.0,14,4,2,2010,2010-2-4
4331293230,13453036@N02,45.777333,4.852609,"animal,animals,mammal,zoo,cow,beast,animaux,vache,mammifère,watusi,têtedor,ankole,parcdelatêtedor,bête,bostaurus,mammifères,watusis",Watusis,24.0,14,4,2,2010,2010-2-4
4330551481,13453036@N02,45.777543,4.857641,"bear,animal,mammal,zoo,beast,ours,mammifère,têtedor,spectacledbear,parcdelatêtedor,bête,tremarctosornatus,oursàlunettes,ursusornatus",Ours à lunettes,20.0,14,4,2,2010,2010-2-4
4425846436,13453036@N02,45.767796,4.835947,"france,night,opera,lyon,opéra,paysageurbain","L'Opéra de Lyon, de nuit",20.0,19,10,3,2010,2010-3-10
5441325453,13453036@N02,45.777356,4.855935,"bird,animal,lyon,crane,beast,oiseau,grue,guineafowl,têtedor,helmetedguineafowl,blackcrownedcrane,balearicapavonina,numidameleagris,plaineafricaine,parcdelatêtedor,bête,pintade,gruecouronnée,pintadedenumidie,gruida",Grue couronnée et pintades,34.0,14,16,5,2010,2010-5-16
5441326023,13453036@N02,45.777543,4.857641,"bear,animal,square,mammal,zoo,lyon,beast,ours,carré,mammifère,têtedor,spectacledbear,parcdelatêtedor,bête,tremarctosornatus,oursàlunettes,ursusornatus",Ours au carré,31.0,14,16,5,2010,2010-5-16
5441320731,13453036@N02,45.777651,4.856901,"elephant,animal,animals,square,mammal,zoo,lyon,beast,elephants,animaux,asianelephant,carré,mammifère,elephasmaximus,éléphant,têtedor,éléphants,parcdelatêtedor,bête,elephas,mammifères,asianelephants,éléphantdasie,éléphantsdasie",Eléphants au carré,23.0,14,16,5,2010,2010-5-16
